server,port,short_name
10.176.6.247,443,10.176.6.247
10.177.3.31,443,brn3c2af411e68e
10.177.4.101,443,woi-lclencdr01-rm
10.177.7.40,443,10.177.7.40
10.177.7.51,443,10.177.7.51
10.180.183.10,443,10.180.183.10
10.184.1.201,443,10.184.1.201
10.184.1.206,443,10.184.1.206
10.184.1.207,443,10.184.1.207
10.184.1.210,443,10.184.1.210
10.184.11.190,443,10.184.11.190
10.184.30.151,443,wzdx-bcplay02
10.184.30.152,443,wzdx-bces01
10.184.30.153,443,wzdx-bcoasis01
10.184.4.111,443,wzdx-mediaproxy
10.184.4.139,443,wzdx-nas2
10.184.4.192,443,10.184.4.192
10.185.203.10,443,kens-omneonmgr
10.185.204.173,443,kens-bces02
10.185.204.175,443,kens-bces01
10.185.204.177,443,kens-bcoasis01
10.185.204.179,443,kens-bcmpoint01
10.185.204.181,443,kens-bcmpoint02
10.185.210.13,443,kens-sccmdp01
10.185.75.107,443,10.185.75.107
10.20.88.22,443,10.20.88.22
10.212.148.31,443,kwes-camio-01
10.212.148.51,443,kwes-con001
10.212.148.52,443,kwes-oas001
10.212.148.53,443,kwes-media001
10.212.148.55,443,kwes-pta002
10.212.212.15,443,10.212.212.15
10.212.212.19,443,kwes-engstorage
10.212.212.48,443,10.212.212.48
10.28.44.32,443,kwes-dwjohnston
10.34.81.46,443,wfmy-mediaproxy
10.34.81.89,443,10.34.81.89
10.36.112.9,443,wtsp-mediaproxy
10.36.127.5,443,wtsp-citrus-sw01
10.38.102.153,443,wzzm-sccm02
10.38.102.155,443,wzzm-ws02
10.38.102.205,443,wzzm-mediaproxy
10.38.211.19,443,10.38.211.19
10.38.214.10,443,wmaz-teevee
10.38.214.75,443,wmaz-sccmdp01
10.38.215.153,443,10.38.215.153
10.38.215.155,443,wmaz-raritan-mc
10.38.218.30,443,wmaz-mediaproxy
10.38.245.17,443,kusa-sccmdp01
10.38.245.70,443,tank-chycamvm01
10.38.245.72,443,tank-chycamvm02
10.38.251.73,443,10.38.251.73
10.38.251.98,443,10.38.251.98
10.38.251.99,443,10.38.251.99
10.4.221.150,443,wltx-logjam
10.4.221.184,443,wltx-sccmdp02
10.4.221.80,443,wltx-mediaproxy
10.4.23.116,443,wtsp-sccmdp01
10.4.23.20,443,wtsp-rdsjump1
10.4.24.153,443,10.4.24.153
10.4.24.25,443,10.4.24.25
10.4.24.58,443,10.4.24.58
10.4.41.175,443,wgrz-sccmdp01
10.4.41.235,443,wgrz-mediaproxy
10.4.76.91,443,10.4.76.91
10.4.76.92,443,wbir-lcladdc02-rm
10.40.103.141,443,kfmb-bces21
10.40.103.143,443,kfmb-bcmpoint21
10.40.103.144,443,kfmb-bcmpoint22
10.40.103.146,443,kfmb-bcoasis21
10.40.20.125,443,kfmb-mediaproxy
10.41.10.30,443,10.41.10.30
10.41.4.3,443,10.41.4.3
10.41.7.121,443,10.41.7.121
10.41.7.27,443,10.41.7.27
10.43.102.222,443,10.43.102.222
10.43.102.225,443,10.43.102.225
10.43.102.44,443,10.43.102.44
10.43.184.9,443,cmch-mediaproxy
10.43.189.12,443,10.43.189.12
10.43.189.13,443,10.43.189.13
10.43.48.23,443,10.43.48.23
10.43.57.51,443,10.43.57.51
10.43.68.120,443,10.43.68.120
10.43.73.170,443,10.43.73.170
10.43.73.173,443,10.43.73.173
10.44.175.131,443,10.44.175.131
